,text,label
557,"khub e valo legeche.. 
just 4 ta vanga chilo.. tasara shob e thik ache.. 
delivery boy+ seller o onk valo😇😇..
thanks daraz",1
558,"thik time a delivery peyechi,,,,,seller and delivery man er behavior o vlo,,,, product taw vllgse ,,,, apnra nite paren 😊😊😊😊🥰",1
559,"প্যাকেজিং প্রসংনিয় ছিলো,ফুচকা গুলোও পরিবেশনের পর অসাধারন স্বাদ উপভোগ করলাম,অন্য রকম মজাদার৷ধন্যবাদ সেলার ভাই,,,,,,শুভ কামনা দারাজ টিম৷ আবারো অর্ডার কোরব ইনশাআল্লাহ্৷",1
560,খুব ভালো টেষ্ট আর ফুলেছেও ভালো।  ধন্যবাদ দারাজকে এবং সেলারকে এত ভালো কোয়ালিটি প্রোডাক্ট ডেলিভারি দেওয়ার জন্য৷ ,1
561,"Received within 2 days.
Tastes goood & Crispy. ",1
1116,"Original product ,,timely delivered and overall good but expried date silo matro 2 mas",1
1117,original product with adequate expiry date.,1
1120,nice food.,1
1152,প্রতিবার ভুল প্রডাক্ট লাঠালেও এইবার সঠিক প্রডাক্ট দেয়ার জন্য ধন্যবাদ।,1
1153,"Used these in smoothie bowls. They are not sweetened and don't taste like much on their own, but as a topping on sweet things or in yogurts give a great crunch and texture.
Will most likely order again.",1
1154,"ordering for the second time, great product",1
1155,kub valo lagece.thank you daraz,1
1156,টেস্টি,1
1191,জিনিস অল্প সময়ে হাতে পাওয়ায় দারাজকে ধন্যবাদ এবং খুব ভালো ভাবে প্যাক করার জন্য ও ধন্যবাদ। বারানটি অনেকে ভালো। ,1
1236,"প্যাকেজিং ভাল ছিল, ডেলিভারিও ২ দিনের মধ্যে পেয়েছি। মেয়াদ উত্তীর্নের তারিখও ঠিক আছে। প্রোডাক্টিও ভাল, আগে ব্যবহার করেছি। ধন্যবাদ দারাজ কে।",1
1238,good product with good price. delivery was fast and packed well. fully satisfied. Thanks to seller and off course Daraz.,1
1239,"product was original ☺️😋

but packaging r o valo koiray diwa ucit cilo..

thanks seller and daraz",1
1240,পণ্যটি খুব ভালো।ধন্যবাদ Daraz কে।অনেক ভালো পণ্য।good product.আপনারা নিতে পারেন।,1
1241,"product was original 😋😋
😋😋😋😋😋😋😋😋😋
packaging valo cihlo ...2-3 din ar modday ei payci 
😋😋😋😋😋😋😋😋😋
thanks seller and daraz ",1
1242,"ডেইট, স্বাদ, প্যাকেজিং সব ভালো ছিলো আলহামদুলিল্লাহ ।।আর দাম হিসাবে লাভ ও করেছি মনে হচ্ছে😊😊",1
1243,aur packaging are good. like it so much.delivery   also so much fast thankyou Daraz. ,1
1244,"সবসময় খাই, কোয়ালিটি নিয়ে কিছু বলার নাই ১০/১০, তবে সবসময় স্টকে রাখলে ভালো হয়। অনুরোধ রইলো সবসময় স্টকে রাখিয়েন। ",1
1245,"Great! Product quality A1, Packaging A1 Date - Fresh and this month manufactured. Always try to buy our own country's products.",1
1246,প্রোডাক্টটি অনেক ভালো ২ দিনের মধ্যে পেয়ে গেছি ধন্যবাদ দারাজকে সেলসম্যান ভাইয়াটা অনেক ভালো ছিলো,1
1247,প্রডাক্ট ঠিকঠাক পেয়েছি। তবে প্যাকিং এর উপর আরো যত্নবান হওয়া উচিত। প্যাকেট দুমড়ে মুচড়ে গেছে। ,1
1248,"so happy,,,thx daraz & sellers . ",1
1249,Onek Valo hoise....☺️☺️,1
1250,Packaging was pretty good.Seller is also good.And delivery was fast enough.Thanks a lot.,1
1251,Same as picture....date o onk din ace,1
1252,"eto kom price e eto vlo jinis asole vabai jay na,,thanks daraz,,,,,",1
1253,"valo products, daraz ar offer ar karon a,buy kore..valo e hoica..",1
1254,good products ☺️☺️☺️,1
1255,it was so good.,1
1256,good product.good quality.Thank you.Daraz.,1
1257,thank you daraz.  ,1
1258,"mutamuti valoi,,,,",1
1259,good food,1
1270,30/05/2021 packaging ta valo moto hoy ni..mr. chocoz r packet ta pressure e ektu chepta hoy geche...overall shob thik ache..1 year expire date ache...2 tar taste o khub valo..seller khub valo..abar stock e thakle order korbo ..apnara chaile kinte paren recommended 🙃,1
1272,"Corn flakes and chocos, both are super good.This is the 3rd time I ordered sajeeb corn flakes.
Buy 1 get 1 free🥰, super great deal.
Delivery was fast and behaviour of the delivery man was good too.
Surely gonna buy again❣️",1
1273,ভাল নিতে পারেন।ঝিনাইদহ  থেকে।১০/১০,1
1274,Kellogs বা অন্যান্য নামী ব্র‍্যান্ডের সাথে তুলনা করলে মাত্র ১৪০ টাকায় এটা আমার কাছে বেশ ভাল লেগেছে,1
1275,"Taste Was Perfect, Packaging & Price Overall Best, Thanks Seller & Daraz.",1
1276,ai food item ta nkk valo...thanks ,1
1277,Looking good. Both product has almost 1 year validity date.. Service and delivery timeline was excellent. ,1
1278,খুব ভালো ছিল।খেতেও দারুন।ধন্যবাদ দারাজ ভালোমানের পণ্যের জন্য।,1
1279,ভালো।ফ্রী গিফ্ট এর জন্য ধন্যবাদ।😊    ,1
1280,"onek valo, khete o onek moja",1
1281,Good product. I like this product. ,1
1282,প্রোডাক্টটা ভালো ছিল ধন্যবাদ দারাজ,1
1283,এক কথায় অসাধারণ। আবার নিবো। ❤❤❤❤,1
1284,thik thak peyechi..thanks,1
1285,Best shoping from daraz.,1
1286,Thanks সেলর,1
1288,"দারাজ থেকে পণ্য কিনলে রিফিউ দেওয়া টা দায়িত্ব মনে করি।
  প্রথমে আসি পণ্যের কথায়।
১) এটা নিয়ে বলার কিছু নেই,১০/১০
সহজ কথায় খুব ভালো।
সেলার ও খুব ভালো, তবে চ্যাট রিসপণ্ড কম।
আমার একটাই অভিযোগ দারাজের বিরুদ্ধে সেটা তাদের হোম ডেলিভারি নীতি।
ন্যুনতম দূরুত্ব যেখান থেকে আমার পণ্য সংগ্রহ করতে যেতে হয় ১২০ টাকা আপ ডাউন খরচ হয়।
তাই তাদের ডেলিভারি পয়েন্ট আরো বাড়ানো উচিত।",1
1289,"Very good product .

Thanks Daraz & also thanks Sajeeb Company for this kind of offer .",1
1290,Products quality nd Packaging were really good.....Best Seller👍,1
1291,3rd time purchase....Good product with reasonable price.👍👍👍,1
1292,it was worth the price.....thnx to the seller😍😍😍😍,1
1293,buy one get one.. worth deal.. no doubt best deal,1
1294,vary good produced ami aro 3ta oder koreci,1
1298,"have got the product safe and sound, delivery was within 3 days, packeging was perfect,there was a gift in it!! heartily thanks to the seller and daraz 😃",1
1299,Recommended 😍🔥 ,1
1302,"Got at much less price via daraz directly from KELLOG’S . 
Plus could be sure that it’s genuine.
Plus very fast delivery— on very next day of the order placement!",1
1303,"Khuve khuve valo, quality nea kono sondeho nai, valo quality",1
1304,good condition and got a discount so was happy.,1
1305,valo chilo apnira nita chaile nita paren..,1
1306,Fresh and good  product . I am satisfy. ,1
1307,onek crunchy onek tasty o khub valo ,1
1308,100% authentic product. Recommended❤,1
1309,"Khub valo,meyad o onek din ase 😊",1
1310,good and original one. Thanks,1
1311,Oneal Valo akdom moner moto ,1
1312,"Original and good product,,,",1
1313,"valo product,,,",1
1314,Very  good ,1
1315,loved it,1
