,text,label
0,"khub e valo legeche.. 
just 4 ta vanga chilo.. tasara shob e thik ache.. 
delivery boy+ seller o onk valo😇😇..
thanks daraz",1
1,"thik time a delivery peyechi,,,,,seller and delivery man er behavior o vlo,,,, product taw vllgse ,,,, apnra nite paren 😊😊😊😊🥰",1
2,"প্যাকেজিং প্রসংনিয় ছিলো,ফুচকা গুলোও পরিবেশনের পর অসাধারন স্বাদ উপভোগ করলাম,অন্য রকম মজাদার৷ধন্যবাদ সেলার ভাই,,,,,,শুভ কামনা দারাজ টিম৷ আবারো অর্ডার কোরব ইনশাআল্লাহ্৷",1
3,খুব ভালো টেষ্ট আর ফুলেছেও ভালো।  ধন্যবাদ দারাজকে এবং সেলারকে এত ভালো কোয়ালিটি প্রোডাক্ট ডেলিভারি দেওয়ার জন্য৷ ,1
4,"Received within 2 days.
Tastes goood & Crispy. ",1
5,"Original product ,,timely delivered and overall good but expried date silo matro 2 mas",1
6,original product with adequate expiry date.,1
7,nice food.,1
8,প্রতিবার ভুল প্রডাক্ট লাঠালেও এইবার সঠিক প্রডাক্ট দেয়ার জন্য ধন্যবাদ।,1
9,"Used these in smoothie bowls. They are not sweetened and don't taste like much on their own, but as a topping on sweet things or in yogurts give a great crunch and texture.
Will most likely order again.",1
10,"ordering for the second time, great product",1
11,kub valo lagece.thank you daraz,1
12,টেস্টি,1
13,জিনিস অল্প সময়ে হাতে পাওয়ায় দারাজকে ধন্যবাদ এবং খুব ভালো ভাবে প্যাক করার জন্য ও ধন্যবাদ। বারানটি অনেকে ভালো। ,1
14,"প্যাকেজিং ভাল ছিল, ডেলিভারিও ২ দিনের মধ্যে পেয়েছি। মেয়াদ উত্তীর্নের তারিখও ঠিক আছে। প্রোডাক্টিও ভাল, আগে ব্যবহার করেছি। ধন্যবাদ দারাজ কে।",1
15,good product with good price. delivery was fast and packed well. fully satisfied. Thanks to seller and off course Daraz.,1
16,"product was original ☺️😋

but packaging r o valo koiray diwa ucit cilo..

thanks seller and daraz",1
17,পণ্যটি খুব ভালো।ধন্যবাদ Daraz কে।অনেক ভালো পণ্য।good product.আপনারা নিতে পারেন।,1
18,"product was original 😋😋
😋😋😋😋😋😋😋😋😋
packaging valo cihlo ...2-3 din ar modday ei payci 
😋😋😋😋😋😋😋😋😋
thanks seller and daraz ",1
19,"ডেইট, স্বাদ, প্যাকেজিং সব ভালো ছিলো আলহামদুলিল্লাহ ।।আর দাম হিসাবে লাভ ও করেছি মনে হচ্ছে😊😊",1
20,aur packaging are good. like it so much.delivery   also so much fast thankyou Daraz. ,1
21,"সবসময় খাই, কোয়ালিটি নিয়ে কিছু বলার নাই ১০/১০, তবে সবসময় স্টকে রাখলে ভালো হয়। অনুরোধ রইলো সবসময় স্টকে রাখিয়েন। ",1
22,"Great! Product quality A1, Packaging A1 Date - Fresh and this month manufactured. Always try to buy our own country's products.",1
23,প্রোডাক্টটি অনেক ভালো ২ দিনের মধ্যে পেয়ে গেছি ধন্যবাদ দারাজকে সেলসম্যান ভাইয়াটা অনেক ভালো ছিলো,1
24,প্রডাক্ট ঠিকঠাক পেয়েছি। তবে প্যাকিং এর উপর আরো যত্নবান হওয়া উচিত। প্যাকেট দুমড়ে মুচড়ে গেছে। ,1
25,"so happy,,,thx daraz & sellers . ",1
26,Onek Valo hoise....☺️☺️,1
27,Packaging was pretty good.Seller is also good.And delivery was fast enough.Thanks a lot.,1
28,Same as picture....date o onk din ace,1
29,"eto kom price e eto vlo jinis asole vabai jay na,,thanks daraz,,,,,",1
30,"valo products, daraz ar offer ar karon a,buy kore..valo e hoica..",1
31,good products ☺️☺️☺️,1
32,it was so good.,1
33,good product.good quality.Thank you.Daraz.,1
34,thank you daraz.  ,1
35,"mutamuti valoi,,,,",1
36,good food,1
37,30/05/2021 packaging ta valo moto hoy ni..mr. chocoz r packet ta pressure e ektu chepta hoy geche...overall shob thik ache..1 year expire date ache...2 tar taste o khub valo..seller khub valo..abar stock e thakle order korbo ..apnara chaile kinte paren recommended 🙃,1
38,"Corn flakes and chocos, both are super good.This is the 3rd time I ordered sajeeb corn flakes.
Buy 1 get 1 free🥰, super great deal.
Delivery was fast and behaviour of the delivery man was good too.
Surely gonna buy again❣️",1
39,ভাল নিতে পারেন।ঝিনাইদহ  থেকে।১০/১০,1
40,Kellogs বা অন্যান্য নামী ব্র‍্যান্ডের সাথে তুলনা করলে মাত্র ১৪০ টাকায় এটা আমার কাছে বেশ ভাল লেগেছে,1
41,"Taste Was Perfect, Packaging & Price Overall Best, Thanks Seller & Daraz.",1
42,ai food item ta nkk valo...thanks ,1
43,Looking good. Both product has almost 1 year validity date.. Service and delivery timeline was excellent. ,1
44,খুব ভালো ছিল।খেতেও দারুন।ধন্যবাদ দারাজ ভালোমানের পণ্যের জন্য।,1
45,ভালো।ফ্রী গিফ্ট এর জন্য ধন্যবাদ।😊    ,1
46,"onek valo, khete o onek moja",1
47,Good product. I like this product. ,1
48,প্রোডাক্টটা ভালো ছিল ধন্যবাদ দারাজ,1
49,এক কথায় অসাধারণ। আবার নিবো। ❤❤❤❤,1
50,thik thak peyechi..thanks,1
51,Best shoping from daraz.,1
52,Thanks সেলর,1
